job_title,company,location,job_summary,salary,post_date,job_url
UX Designer- Demo Team,Salesforce,"New York, NY",,"We collaborate with product marketing, customers, and executives to demonstrate how customers solve the business problems of today and tomorrow with Salesforce.",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BFXix2FAbi_K-k621ww6NwlDz3_S3di6T-XK684NdEu-AKt5lgQ5ES9zOX2FT1HwDStctyIBMUCsW59XtMmUzLnqxxIoniO2oPy8E3Ovju5WfiR7azzakW05nMF1ah1CwsJR6qpZPZs0JXaTO9dfJJ_vaH7YkMo-RndWgpkPXshSjvuVRCaYsntL7SF_YPGMYHK5CCMOGgcu-RZP7zoI-mENFQ18xJpnvq-N9ay9EEluFKgx3epdRroPukXj7Yo4ZEdd1lCG_edutMrYUdqht6ThbQG00y7n_xzMr0XXlJBgb2VhYmMIre2FiFzHHiigOgxrmy9fD30eWf_E_ewsuQogNpmenQfAQPEH_PDFGBPl2L2dShDhzeLCkhuW-uo43TMLwoHmI-ppq6ZVEcvVyOJhwHN6OyOrZ67j06bsjA1g4TbF2PBXmRlILL83rI8cw1UUt9hBaAsICmEei00EBvJqKup33FpBlYPABhIjhSGvUZKEn-mqY80e2WC93FMwk5GTa0LL8SY6QL0n_U-3DrxqQFjpcOnnRxx13r0IaL5pEKFaQOmU3waW5MX7WKf7Pt1WDkranZsq9r-t438ZjXAE4CqoUXynGloy36nCxU5J5Ja4AvOuraGc8rpzHmHuY=&p=0&fvj=0&vjs=3,5 days ago
User Experience Designer,"JPMorgan Chase Bank, N.A.","Jersey City, NJ",,"Key responsibilities include building relationships with stakeholders, growing and fostering a high-performance UX team, working with designers to ensure…",https://www.indeed.com//rc/clk?jk=8d2ee9a7e0348077&fccid=aaf3b433897ea465&vjs=3,Today
Junior Designer,Carrier,"New York, NY",,"Collaborate with other designers, technologists, and product management.
Work with interaction and product designers to create pixel-perfect product interfaces.",https://www.indeed.com//rc/clk?jk=c3ad9761eacc2102&fccid=9a2c8ce9d1b61aac&vjs=3,8 days ago
"User Experience Design Apprenticeship, October 2021 Start",Google,"New York, NY",,"We aim to build a pipeline for the next generation of UX designers across the industry, actively bridging the gap between technical employment and education.",https://www.indeed.com//rc/clk?jk=9e2ee189fc917966&fccid=a5b4499d9e91a5c6&vjs=3,27 days ago
Product Designer,Oura,"New York, NY",,"We are looking for an experienced Product Designer to join our team in the US and help us design the Oura experience on our extended platforms, including our…",https://www.indeed.com//rc/clk?jk=9b002ca443c9259d&fccid=79052c2d5d41c361&vjs=3,30+ days ago
"Product Designer, Help Center",Squarespace,"New York, NY",,"You'll report to the Product Design Manager of Engagement.
We are closely monitoring the status of COVID-19 as we continue our work to build a return-to-work…",https://www.indeed.com//rc/clk?jk=5c3e531d615fecef&fccid=10c1f2532daaed15&vjs=3,9 days ago
"Associate Digital Designer, Polo Men's",Ralph Lauren,"New York, NY",,This position will work collaboratively with a talented and motivated team to create high quality digital experiences that blend brand elevated storytelling…,https://www.indeed.com//rc/clk?jk=af4cf89acb0ac037&fccid=535de7c767791408&vjs=3,3 days ago
UX Designer,The Topps Company,"New York, NY",,"This UX/UI design role will report directly to the Senior UX designer.
Translate wireframes into high-quality user interface designs using industry best…",https://www.indeed.com//rc/clk?jk=e8c7a6cc869eacea&fccid=83a28da9948d5899&vjs=3,2 days ago
UX Designer,Amazon.com Services LLC,"New York, NY",,"We are looking for a user experience designer that loves learning, and is passionate about conceiving experiences in the abstract and then driving that vision…",https://www.indeed.com//rc/clk?jk=a2d7bbab6b3c9491&fccid=fe2d21eef233e94a&vjs=3,18 days ago
Digital Designer,The Estée Lauder Companies,"New York, NY",,"Decision Making – Indicate type of decisions typically made and the overall impact of those decisions.
Independence of Action and Accountability – Indicate the…",https://www.indeed.com//rc/clk?jk=db67f9d343dbe981&fccid=5cbdaa742f7e51f3&vjs=3,6 days ago
